Alcohol,Name,image,Category,Making,Base Wine,Base Wine Amount,Liquor,Liquor Amount,Juice,Juice Amount,Spice,Spice Amount,Soda,Soda Amount,Others,Taste,Type of Glass,Salty,Savory,Sour,Bitter,Sweet,Spicy
32,Black Russian,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Long,Build,Vodka,40,Coffee,20,-,-,-,-,-,-,-,Mild,Rock,0,0,0,17,50,0
12,Bloody Mary,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Long,Build,Vodka,45,-,-,Tomato,240,-,-,-,-,Lemon Piece/Celery,Strong,Highball,17,17,83,17,17,83
14,Blue Hawaii,https://www.liquor.com/thmb/zq9ZXy-j9SGJVnTj5tu6YydJNRQ=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__07__12101312__Blue-Hawaii-720x720-recipe-1c521445b9394786abe8215118baf734.jpg,Long,Shake,Rum,30,Blue Curacao,15,Pineapple_30/Lemon_15,45,-,-,-,-,Pineapple Piece/Cherry/Mint,Mild,Cognac Ballon,0,0,17,0,17,0
32,Brave Bull,https://images.absolutdrinks.com/drink-images/Raw/Kahlua/145127c8-7046-4947-8770-177ac6f991e9.png?imwidth=360,Long,Build,Tequila,40,Coffee,20,-,-,-,-,-,-,-,Mild,Old Fashioned,0,0,0,0,50,0
30,Brooklyn,https://www.liquor.com/thmb/QDqQTxBqe2pP_oVZSex9A4Icfdg=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/brooklyn-720x720-primary-b29862e885634370a83fa486a1849665.jpg,Short,Shake,Whiskey,40,Dry Vermouth_20/Bitter_1/Black Cherry_1,-,-,-,-,-,-,-,-,Strong,Shot Glass,17,0,83,17,33,0
28,Cherry Blossom,http://craftandcocktails.co/wp-content/uploads/2016/06/Cherry-Blossom-11.jpg,Short,Shake,Brandy,30,Sherry_30/Orange Curacao_2,32,Lemon,2,Sugar,2,-,-,-,Mild,Martini Glass,17,17,17,17,83,0
7,Chi-Chi,https://www.liquor.com/thmb/jCet6OGbrFrqGH3Xy739jImOnng=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/chi-chi-720x720-primary-23042911f5e94389b52cf359606f043e.jpg,Long,Shake,Vodka,30,-,-,Pineapple,80,-,-,-,-,Coconut Milk,Mild,Armagnac Glasss,0,17,67,0,50,0
22,Cosmopolitan,http://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,Short,Shake,Vodka,30,White Curacao,10,Lime_10/Cranberry_10,20,-,-,-,-,-,Mild,Martini Glass,0,0,33,17,50,0
12,Cuba Libre,http://www.thecocktaildb.com/images/media/drink/uuxsrr1473201663.jpg,Long,Build,Rum,45,-,-,Lime,10,-,-,Cola,220,Lime Piece,Mild,Highball,0,0,0,17,50,0
32,Dirty Mother,https://images.absolutdrinks.com/drink-images/Raw/Kahlua/8fd7ed87-d56e-4ff8-964d-dd0715077c04.jpg,Long,Build,Brandy,40,Coffee,20,-,-,-,-,-,-,-,Sweet,Rock,17,17,17,17,83,0
40,Earthquake,https://cdn.diffords.com/contrib/stock-images/2019/08/5d552db6665fe.jpg,Short,Shake,Gin,20,Pernod,20,-,-,-,-,-,-,-,Strong,Martini Glass,17,17,83,17,17,0
11,EL Diablo,https://www.liquor.com/thmb/v0HM31JPSx7Y95_-C8gsJNKXuJI=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/el-diablo-720x720-primary-c824d7af719f415ebae391afa1638dad.jpg,Long,Build,Tequila,30,-,-,-,-,-,-,Ginger,250,Orange Piece,Mild,Highball,17,0,50,17,50,0
32,French Connection,http://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,Long,Build,Brandy,45,Apricot ,15,-,-,-,-,-,-,-,Mild,Old Fashioned,0,0,0,17,67,0
14,Gin & Tonic,http://www.thecocktaildb.com/images/media/drink/wtyxvx1472405831.jpg,Long,Build,Gin,45,-,-,-,-,-,-,Tonic,240,Lemon Piece,Mild,Highball,17,0,83,0,33,0
28,Gin Fizz,http://www.thecocktaildb.com/images/media/drink/xhl8q31504351772.jpg,Long,Build,Gin,45,-,-,Lemon,20,Sugar,10,-,-,Lemon Piece,Mild,Highball,17,17,50,17,0,0
34,Godfather,http://www.thecocktaildb.com/images/media/drink/r74uz51504368928.jpg,Long,Build,Whiskey,45,Apricot ,15,-,-,-,-,-,-,-,Mild,Old Fashioned,0,0,0,17,50,0
12,Harvard Cooler,https://www.schweppes.de/cocktail-sync/image-thumb__9518__cocktail-image-recipes-1x1/harvard-cooler.png,Long,Shake,Brandy,45,-,-,Lemon,20,Sugar,5,Soda,200,-,Mild,Highball,17,0,17,0,17,0
17,Havana Beach,"https://img.sndimg.com/food/image/upload/q_92,fl_progressive,w_1200,c_scale/v1/img/recipes/23/29/02/picWdM9JA.jpg",Short,Shake,Rum,30,-,-,Pineapple,30,Sugar,5,-,-,-,Sweet,Martini Glass,0,0,33,0,50,0
10,Horse?™s Neck,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Long,Build,Brandy,45,-,-,-,-,-,-,Ginger,200,Lemon Piece,Mild,Old Fashioned,17,17,83,0,17,0
17,Imperial Fizz,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Long,Shake,Whiskey,45,White Rum,15,Lemon,20,Sugar,8,Soda,180,-,Mild,Highball,0,17,33,17,17,0
13,John Collins,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Long,Build,Whiskey,45,-,-,Lemon,15,Sugar,8,Soda,210,Lemon Piece/Cherry,Mild,Highball,17,0,17,0,17,0
19,Long Island Ice Tea,http://www.thecocktaildb.com/images/media/drink/wx7hsg1504370510.jpg,Long,Build,Gin,15,Vodka_15/Rum_15/Tequila_15/White Curacao_10,55,Lemon,30,Sugar,5,Cola,40,-,Mild,Highball,0,0,17,0,67,0
25,Mai-Tai,http://www.thecocktaildb.com/images/media/drink/twyrrp1439907470.jpg,Long,Shake,Rum,50,Orange Curacao,5,Orange_10/Pineapple_10/Lemon_5,25,-,-,-,-,Pineapple Piece/Orange Piece/Cherry,Mild,Rock,0,0,50,17,33,0
32,Manhattan,http://www.thecocktaildb.com/images/media/drink/ec2jtz1504350429.jpg,Short,Stir,Whiskey,45,Sweet Vermouth,15,-,-,Bitter,1,-,-,Lemon Piece/Cherry,Mild,Martini Glass,17,0,0,17,17,0
26,Margarita,http://www.thecocktaildb.com/images/media/drink/wpxpvu1439905379.jpg,Short,Shake,Tequila,30,White Curacao,15,Lime,15,-,-,-,-,Snow Salt,Mild,Martini Glass,0,0,50,0,83,0
34,Martini,http://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,Short,Stir,Gin,45,Dry Vermouth,15,-,-,-,-,-,-,Olive,Strong,Martini Glass,17,17,17,17,0,0
32,Martini Sweet,https://cdn.diffords.com/contrib/stock-images/2022/05/62861eae55e34.jpg,Short,Stir,Gin,40,Sweet Vermouth,20,-,-,-,-,-,-,Cherry,Mild,Martini Glass,50,17,67,17,33,0
28,Miami Beach,https://cdn.diffords.com/contrib/stock-images/2016/12/21/2016c42f87a9eabfeec2ec1b0b6d07c93689.jpg,Short,Shake,Whiskey,35,Dry Vermouth,10,Grapefruit,15,-,-,-,-,-,Mild,Martini Glass,33,17,67,17,33,0
25,Mockingbird,https://cdn.diffords.com/contrib/stock-images/2017/1/23/2017f6802768de0fc1c270973bcf5c63d4b4.jpg,Short,Shake,Tequila,30,Green Mint,15,Lime,15,-,-,-,-,-,Mild,Champagne Flute,0,17,67,17,17,0
25,Mojito,http://www.thecocktaildb.com/images/media/drink/rxtqps1478251029.jpg,Long,Build,Rum,45,-,-,-,-,Sugar,5,-,-,Lime/Mint,Mild,Highball,17,0,33,0,17,0
12,Moscow Mule,http://www.thecocktaildb.com/images/media/drink/3pylqc1504370988.jpg,Long,Build,Vodka,45,-,-,Lime,15,-,-,Ginger,220,Lime Piece,Mild,Highball,0,0,83,0,17,0
25,Negroni,http://www.thecocktaildb.com/images/media/drink/tutwwv1439907127.jpg,Long,Build,Gin,30,Campari_30/Sweet Vermouth_30,60,-,-,-,-,-,-,Orange Piece,Mild,Old Fashioned,83,17,0,17,67,0
26,New York,https://www.thespruceeats.com/thmb/vW88QQkNRAyFeNa86sId8uwuKJA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Martinez_Cocktail-58d8bf973df78c5162804f96.jpg,Short,Shake,Whiskey,45,-,-,Lime,15,Sugar,8,-,-,Orange Piece,Mild,Martini Glass,0,0,50,17,67,0
32,Old Fashioned,http://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,Long,Build,Whiskey,45,Dry Vermouth,20,-,-,Bitter,2,-,-,Orange Piece/Lemon Piece/Cherry,Mild,Old Fashioned,17,0,83,17,50,0
13,Salty Dog,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Long,Build,Vodka,45,-,-,Grapefruit,220,-,-,-,-,Snow Salt,Mild,Old Fashioned,17,0,83,17,33,0
15,Screwdriver,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Long,Build,Vodka,45,-,-,Orange,240,-,-,-,-,Orange Piece,Mild,Highball,0,17,83,0,50,0
10,Sex on the Beach,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Long,Build,Vodka,15,Melon_20/Raspberry_10,30,Pineapple,80,-,-,-,-,-,Mild,Highball,0,0,83,0,50,0
26,Sidecar,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Short,Shake,Brandy,30,White Curacao,15,Lemon,15,-,-,-,-,-,Mild,Martini Glass,0,0,67,17,83,0
25,Silk Stockings,https://cdn.diffords.com/contrib/stock-images/2016/1/42/2016877977b537d819d95a96f42140277b74.jpg,Short,Shake,Tequila,30,Coco,15,-,-,Sugar,5,-,-,Cream/Cherry,Mild,Martini Glass,17,17,17,17,50,0
17,Singapore Sling,https://www.liquor.com/thmb/_lRWG77lYizITkb7-vBwJd3s0PU=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/singapore-sling-720x720-primary-37a139ea74be4c3590d556a9fcc761cb.jpg,Long,Shake,Gin,45,Sherry,20,Lemon,20,-,-,Soda,200,Lemon Piece/Cherry/Orange Piece,Mild,Highball,0,0,67,17,17,0
32,Stinger,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Short,Shake,Brandy,40,White Mint,20,-,-,-,-,-,-,-,Mild,Martini Glass,0,0,0,0,50,0
35,Tequila Martini,https://www.liquor.com/thmb/ZqTpjxWJRLdi7VXpW61Rm922kwE=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/tequila-martini-720x720-primary-fdd124b8ee5f404f86859ef4be39f757.jpg,Short,Stir,Tequila,48,Dry Vermouth,12,-,-,-,-,-,-,Olive,Strong,Martini Glass,0,0,33,0,17,0
12,Tequila Sunrise,http://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Long,Build,Tequila,45,-,-,Orange,90,Sugar,10,-,-,Orange Piece,Mild,Champagne Flute,0,17,83,0,50,0
5,Tequila Sunset,https://imbibemagazine.com/wp-content/uploads/2021/07/anatomy-tequila-sunrise-rev-crdt-john-valls-scaled.jpg,Short,Blend,Tequila,30,-,-,Lemon,30,Sugar,5,-,-,Ice,Mild,Champagne Saucer,0,17,83,17,50,0
16,Tom Collins,http://www.thecocktaildb.com/images/media/drink/qystvv1439907682.jpg,Long,Shake,Gin,45,-,-,Lemon,20,Sugar,8,Soda,200,Lemon Piece,Mild,Highball,17,17,17,83,17,0
14,Vodka & Tonic,http://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Long,Build,Vodka,45,-,-,-,-,-,-,Tonic,200,-,Mild,Old Fashioned,0,17,83,0,33,0
30,Vodka Gimlet,https://www.liquor.com/thmb/2YFyxeQwgoR_oIbu9jUbGfBKBbs=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/__opt__aboutcom__coeus__resources__content_migration__liquor__2019__09__12092910__Vodka-Gimlet-720x720-recipe-e0aad3b18d514bd99faceb8b57f5d446.jpg,Short,Shake,Vodka,45,-,-,Lime,15,Sugar,5,-,-,-,Mild,Cordial Glass,0,0,50,0,17,0
19,Zombie,https://www.liquor.com/thmb/vI9J0imF8XUCce6ufLF97noBuN4=/380x380/filters:max_bytes(150000):strip_icc():format(webp)/zombie-720x720-primary-29b2a1ab718f42f293bb7b2b6cb107c8.jpg,Long,Shake,Rum,60,Apricot Brandy ,10,Orange_15/Pineapple_15/Lemon_10,40,Sugar,5,-,-,Orange Piece,Mild,Highball,0,0,83,0,67,0
